More Than Miyagi: The Pat Morita Story;Título original;Idioma original;Duración;Directores;Sinopsis;1/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Los nuevos mutantes;Título original;Idioma original;Duración;Directores;Sinopsis;26/8/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Escuadrón de la muerte;Título original;Idioma original;Duración;Directores;Sinopsis;17/10/2019 (IT);Clasificación por edad;Imagen cartel;Puntuación
John Wick: Capítulo 3 - Parabellum;Título original;Idioma original;Duración;Directores;Sinopsis;31/5/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
La mensajera;Título original;Idioma original;Duración;Directores;Sinopsis;16/4/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
La tierra y la sangre;Título original;Idioma original;Duración;Directores;Sinopsis;17/4/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Devoto, la invasión silenciosa;Título original;Idioma original;Duración;Directores;Sinopsis;7/5/2020 (AR);Clasificación por edad;Imagen cartel;Puntuación
Cherry;Título original;Idioma original;Duración;Directores;Sinopsis;26/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Érase una vez un muñeco de nieve;Título original;Idioma original;Duración;Directores;Sinopsis;23/10/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Sputnik;Título original;Idioma original;Duración;Directores;Sinopsis;27/11/2020 (TW);Clasificación por edad;Imagen cartel;Puntuación
Capitana Marvel;Título original;Idioma original;Duración;Directores;Sinopsis;8/3/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
The Vast of Night;Título original;Idioma original;Duración;Directores;Sinopsis;15/5/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Tóxico;Título original;Idioma original;Duración;Directores;Sinopsis;23/4/2020 (AR);Clasificación por edad;Imagen cartel;Puntuación
Península;Título original;Idioma original;Duración;Directores;Sinopsis;23/4/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
Alita: Ángel de combate;Título original;Idioma original;Duración;Directores;Sinopsis;15/2/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
Alone;Título original;Idioma original;Duración;Directores;Sinopsis;10/9/2020 (KR);Clasificación por edad;Imagen cartel;Puntuación
Death of Me;Título original;Idioma original;Duración;Directores;Sinopsis;29/11/2020 (UA);Clasificación por edad;Imagen cartel;Puntuación
La patrulla al rescate;Título original;Idioma original;Duración;Directores;Sinopsis;3/9/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Pacto de fuga;Título original;Idioma original;Duración;Directores;Sinopsis;23/1/2020 (CL);Clasificación por edad;Imagen cartel;Puntuación
Baba Yaga: El regreso del demonio;Título original;Idioma original;Duración;Directores;Sinopsis;27/2/2020 (RU);Clasificación por edad;Imagen cartel;Puntuación
Liga de la Justicia;Título original;Idioma original;Duración;Directores;Sinopsis;17/11/2017 (ES);Clasificación por edad;Imagen cartel;Puntuación
Batman: Death in the Family;Título original;Idioma original;Duración;Directores;Sinopsis;13/10/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
A todos los chicos: Para siempre;Título original;Idioma original;Duración;Directores;Sinopsis;12/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
The Scientist;Título original;Idioma original;Duración;Directores;Sinopsis;21/9/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Mira, la chica del tren;Título original;Idioma original;Duración;Directores;Sinopsis;26/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
The Rental;Título original;Idioma original;Duración;Directores;Sinopsis;24/7/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Spenser: confidencial;Título original;Idioma original;Duración;Directores;Sinopsis;6/3/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Proyecto Géminis;Título original;Idioma original;Duración;Directores;Sinopsis;11/10/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
X-Men: Fénix oscura;Título original;Idioma original;Duración;Directores;Sinopsis;7/6/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
Proyecto Rampage;Título original;Idioma original;Duración;Directores;Sinopsis;13/4/2018 (ES);Clasificación por edad;Imagen cartel;Puntuación
Star Wars: El ascenso de Skywalker;Título original;Idioma original;Duración;Directores;Sinopsis;19/12/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
Black and Blue;Título original;Idioma original;Duración;Directores;Sinopsis;25/10/2019 (US);Clasificación por edad;Imagen cartel;Puntuación
